pair,code_distance,wav_distance,subfolder
v1 vs v3,0.9945836067199707,0.9878349304199219,rerezzed
v1 vs v2,0.9998206496238708,0.9838600754737854,rerezzed
v1 vs original,0.9998206496238708,0.9788818359375,rerezzed
v3 vs v2,0.9950027465820312,0.9953184723854065,rerezzed
v3 vs original,0.9950027465820312,0.9858013391494751,rerezzed
v2 vs original,1.0000001192092896,0.9881045818328857,rerezzed
v1 vs v3,0.9929155111312866,0.9838641881942749,acid
v1 vs v2,0.9974229335784912,0.993355929851532,acid
v1 vs original,0.9981098175048828,0.991566002368927,acid
v3 vs v2,0.9930036664009094,0.9858124852180481,acid
v3 vs original,0.9925273656845093,0.9910300374031067,acid
v2 vs original,0.9987810850143433,0.9968206882476807,acid
v1 vs v3,0.9996497631072998,0.9954744577407837,bach
v1 vs v2,0.9993995428085327,0.9909605979919434,bach
v1 vs original,0.998388409614563,0.9965177774429321,bach
v3 vs v2,0.9991307258605957,0.9927379488945007,bach
v3 vs original,0.9982460141181946,0.9933770895004272,bach
v2 vs original,0.9979239702224731,0.996078372001648,bach
v1 vs v3,0.9995101690292358,0.9726584553718567,lorezzed
v1 vs v2,1.0,0.9798568487167358,lorezzed
v1 vs original,1.0,0.9904680252075195,lorezzed
v3 vs v2,0.9995101690292358,0.9905871748924255,lorezzed
v3 vs original,0.9995101690292358,0.983453631401062,lorezzed
v2 vs original,1.0,0.9928582310676575,lorezzed
v1 vs v3,0.99955153465271,0.9885294437408447,cloudbeat
v1 vs v2,0.9986361265182495,0.9898166656494141,cloudbeat
v1 vs original,0.9999999403953552,0.9908115267753601,cloudbeat
v3 vs v2,0.998424768447876,0.9924588203430176,cloudbeat
v3 vs original,0.99955153465271,0.9838589429855347,cloudbeat
v2 vs original,0.9986361265182495,0.9842382073402405,cloudbeat
